speaker_id	conversation_id	derailed	word_count	utterance_count	mean_abs_z	max_z	z_future-progressive-conditional-active	z_future-progressive-indicative-active	z_future-simple-conditional-active	z_future-simple-conditional-passive	z_future-simple-indicative-active	z_future-simple-indicative-passive	z_none-perfect-infinitival-active	z_none-perfect-infinitival-passive	z_none-progressive-infinitival-active	z_none-progressive-participle-passive	z_none-simple-infinitival-active	z_none-simple-infinitival-passive	z_none-simple-participle-active	z_none-simple-participle-passive	z_past-perfect-conditional-active	z_past-perfect-conditional-passive	z_past-perfect-indicative-active	z_past-perfect-indicative-passive	z_past-perfect-progressive-indicative-active	z_past-progressive-conditional-active
GaryColemanFan	204134114.13536.13536	0	27	1	2.8362	4.7217	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Scorpion0422	204134114.13536.13536	0	183	1	0.4862	0.9862	0.0000	0.0000	0.0000	0.0000	-0.4230	0.0000	0.0000	0.0000	0.0000	0.0000	-0.3182	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
66.130.192.44	311369389.67443.67443	0	37	2	0.7524	1.1979	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Tide rolls	311369389.67443.67443	0	66	1	0.4370	0.5979	0.0000	0.0000	0.0000	0.0000	0.5864	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Guildenrich	311369389.67443.67443	0	18	1	4.7969	4.7969	0.0000	0.0000	0.0000	0.0000	4.7969	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
JuJube	68121124.7309.7309	0	89	3	0.5757	1.6666	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
68.83.173.129	68121124.7309.7309	0	11	1	4.7378	8.5351	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
195.72.234.172	140863290.3931.3931	0	21	2	1.6165	2.7083	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
CattleGirl	140863290.3931.3931	0	45	1	1.1009	1.6243	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TexasAndroid	140863290.3931.3931	0	88	1	0.3247	1.3671	0.0000	0.0000	0.0000	0.1034	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1380	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Hajji Piruz	112610040.70740.70740	0	20	2	1.2482	1.2482	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Nepaheshgar	112610040.70740.70740	0	826	7	0.5992	0.9053	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.8014	-0.6825	-0.6863	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Asabbagh	112610040.70740.70740	0	603	7	0.5451	0.9576	0.0000	0.0000	-0.8665	0.0000	-0.4740	0.0000	0.0000	0.0000	0.0000	0.0000	-0.4240	-0.6311	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Rayis	112610040.70740.70740	0	22	1	2.2394	3.5383	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Lil-unique1	424609838.21311.21311	0	27	2	1.5503	2.2179	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Adabow	424609838.21311.21311	0	52	1	0.9762	1.2713	0.0000	0.0000	0.0000	0.0000	1.0115	0.0000	0.0000	0.0000	0.0000	0.0000	1.2713	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Legolas2186	424609838.21311.21311	0	46	1	1.2709	3.1985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.1985	0.0000	1.3506	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Splash	198960121.10524.10524	0	342	2	0.4172	0.6878	0.0000	0.0000	0.0000	0.0000	-0.6878	0.0000	0.0000	0.0000	0.0000	0.0000	-0.2354	0.0000	-0.6333	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
165.228.245.66	198960121.10524.10524	0	64	1	0.7618	1.0367	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.3736	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Symaps	198960121.10524.10524	0	71	1	0.4522	0.7943	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.4845	0.7943	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
203.213.65.249	198960121.10524.10524	0	55	1	1.2245	2.1713	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.1894	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Patton123	259357785.3023.3023	0	30	2	1.5065	1.7648	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Winged Brick	259357785.3023.3023	0	68	2	0.5558	1.1409	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6195	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
D.E. Watters	259357785.3023.3023	0	60	2	0.6472	0.7749	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Matt Crypto	43880543.2151.2151	0	65	2	0.9453	1.8254	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8254	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Doctorbruno	43880543.2151.2151	0	41	1	1.7329	2.0572	0.0000	0.0000	0.0000	0.0000	1.5492	0.0000	0.0000	0.0000	0.0000	0.0000	2.0146	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Chzz	302451722.17861.17861	0	131	3	0.3373	0.8445	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.3994	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Tothwolf	302451722.17861.17861	0	202	2	0.3756	1.1310	0.0000	0.0000	0.0000	0.0000	-0.4766	0.0000	-0.2532	0.0000	0.0000	0.0000	0.2839	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Tryptofish	368040175.20376.20376	0	21	2	0.7166	0.9086	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
The Wordsmith	368040175.20376.20376	0	20	1	1.9781	2.9405	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Lar	368040175.20376.20376	0	21	1	3.3973	5.3608	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	5.3608	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Legolas2186	276035589.473.473	0	55	3	0.6017	0.9332	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Malkinann	423264134.16010.16010	0	158	4	0.3203	0.6584	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.1314	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Jayen466	423264134.16010.16010	0	118	2	0.3729	0.7022	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.2782	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Jinnai	423264134.16010.16010	0	42	1	1.1503	1.9309	0.0000	0.0000	0.0000	0.0000	1.4887	0.0000	0.0000	0.0000	0.0000	0.0000	1.9309	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DavidOaks	286788087.9958.9958	0	115	3	0.5892	2.2616	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0063	0.0000	-0.0247	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
TruthIIPower	286788087.9958.9958	0	38	2	1.6044	3.9946	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3965	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Loren.wilton	200468806.12461.12461	0	77	2	0.4588	0.9406	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
DeadEyeArrow	200468806.12461.12461	0	45	1	0.6465	0.9244	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Freechild	434152471.2157.2157	0	119	3	0.4997	1.0860	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.2885	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Skyerise	434152471.2157.2157	0	119	2	0.5881	1.2827	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.8937	0.1426	-0.0556	0.0000	0.0000	0.0000	0.3095	0.0000	0.0000	0.0000
Older and ... well older	310432282.4023.4023	0	262	4	0.3383	0.7171	0.0000	0.0000	0.0000	0.0000	-0.5947	0.0000	0.0000	0.0000	0.0000	0.0000	-0.1244	0.0000	-0.1367	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Cyberfox1954	310432282.4023.4023	0	51	2	1.2033	3.1728	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.0867	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Iqinn	413403411.7388.7388	0	79	3	0.8474	2.1479	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.5873	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
V7-sport	413403411.7388.7388	0	29	1	2.5148	3.4181	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Gigs	337813018.13563.13563	0	116	3	0.3401	0.8781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.8781	0.0000	-0.0326	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Neptunerover	337813018.13563.13563	0	205	2	0.4535	0.7963	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.7963	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Supreme Deliciousness	339153648.13082.13082	0	69	3	0.4577	1.0189	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.4551	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Breein1007	339153648.13082.13082	0	428	4	0.4725	0.7856	0.0000	0.0000	0.4496	0.0000	0.0000	-0.6375	0.0000	0.0000	-0.6409	0.0000	-0.6576	0.0000	-0.4489	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
AlasdairEdits	339153648.13082.13082	0	26	1	1.5408	2.2688	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.2713	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
131.111.225.81	339153648.13082.13082	0	83	1	0.8893	2.3488	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1044	0.0000	0.3288	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Buggie111	387033433.19939.19939	0	132	6	0.4670	1.2293	0.0000	0.0000	0.0000	0.0000	-0.2030	0.0000	0.0000	0.0000	0.0000	0.0000	1.2293	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
White Shadows	387033433.19939.19939	0	120	5	0.6423	2.1024	0.0000	0.0000	0.0000	0.0000	-0.1241	0.0000	0.0000	0.0000	0.0000	0.0000	2.1024	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Skookum1	398530287.4835.4835	0	124	2	0.7037	1.2455	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.9182	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
UrbanNerd	398530287.4835.4835	0	64	1	0.5623	0.9363	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.7519	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Ckatz	398530287.4835.4835	0	22	1	2.8717	4.7150	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
PKT	398530287.4835.4835	0	17	1	2.0475	2.6828	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Mlpearc	425006000.4119.4119	0	105	3	0.3855	0.7666	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5589	0.0000	0.0626	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
Hzh	425006000.4119.4119	0	180	2	0.2956	0.8231	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.2986	0.0000	0.8158	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	-0.3394
